Speciality|Service
Radiologists|MRI ENTEROCLYSIS
Radiologists|MRI ENTEROCLYSIS (TUBE LESS) WITH CONTRAST
Radiologists|MRI FACE WITH NECK
Radiologists|MRI FETAL
Radiologists|MRI FINGER
Radiologists|MRI FISTULOGRAM / SINOGRAM
Radiologists|MRI FOOT JOINT
Radiologists|MRI FOR FACE
Radiologists|MRI FOR LOWER ABDOMEN
Radiologists|MRI FOREARM LEFT
Radiologists|MRI FOREARM RIGHT
Radiologists|MRI HAND
Radiologists|MRI HEAD - CONTRAST
Radiologists|MRI HEAD - W/O CONTRAST
Radiologists|MRI HIP - CONTRAST
Radiologists|MRI HIP - W/O CONTRAST
Radiologists|MRI HIP JOINT
Radiologists|MRI INNER EAR 3D
Radiologists|MRI JOINT WITH ARTHOGRAM
Radiologists|MRI KNEE BOTH JOINTS - CONTRAST
Radiologists|MRI KNEE BOTH JOINTS - W/O CONTRAST
Radiologists|MRI KNEE CARTIGRAM
Radiologists|MRI KNEE JOINT
Radiologists|MRI KNEE SINGLE - CONTRAST
Radiologists|MRI KNEE SINGLE - W/O CONTRAST
Radiologists|MRI LEFT  ACROMIOCLAVICULER JOINT
Radiologists|MRI LEFT ANKLE JOINT
Radiologists|MRI LEFT ARM
Radiologists|MRI LEFT ELBOW JOINT
Radiologists|MRI LEFT FINGER
Radiologists|MRI LEFT KNEE JOINT
Radiologists|MRI LEFT SHOULDER JOINT
Radiologists|MRI LEFT STERNOCLAVICULAR JOINT
Radiologists|MRI LEFT THIGH
Radiologists|MRI LEFT THUMB
Radiologists|MRI LEFT WRIST JOINT
Radiologists|MRI LONG BONE
Radiologists|MRI MAMMO PLAIN
Radiologists|MRI MAMMOGRAPHY WITH CONTRAST
Radiologists|MRI NECK
Radiologists|MRI NECK - CONTRAST
Radiologists|MRI NECK - W/O CONTRAST
Radiologists|MRI NEUROGRAM
Radiologists|MRI PELVIS
Radiologists|MRI PELVIS - CONTRAST
Radiologists|MRI PEVIC FLOOR DYNAMIC STUDY
Radiologists|MRI PROSTATE PLAIN
Radiologists|MRI PROSTATE SPECTROSCOPY
Radiologists|MRI PROSTATE WITH DIFFUSION
Radiologists|MRI UROGRAPHY
Radiologists|MRI UROGRAPHY WITH CONTRAST
Radiologists|USG WHOLE ABDOMEN
Radiologists|USG UPPER ABDOMEN
Radiologists|USG LOWER ABDOMEN
Radiologists|USG FOLLICULLAR STUDY
Radiologists|USG PELVIS -TRANSVAGINAL
Radiologists|USG KUB (Kidney,Ureter,and Bladder)
Radiologists|USG LEVEL-1 (NT/NB) ULTRASOUND
Radiologists|USG LEVEL-2 ULTRASOUND
Radiologists|USG OBS DOPPLER
Radiologists|USG BIOPHYSICAL PROFILE
Radiologists|OBS DOPPLER WITH BIPHYSICAL PROFILE
Radiologists|USG NECK
Radiologists|USG BREAST
Radiologists|USG SCROTUM
Radiologists|USG CHEST
Radiologists|USG ANKLE JOINT
Radiologists|USG CRANIAM
Radiologists|USG KNEE JOINT
Radiologists|USG LEFT WRIST
Radiologists|USG MUSCULOSKELETAL
Radiologists|USG RIGHT WRIST
Radiologists|USG SHOULDER
Radiologists|USG THYROID
Radiologists|USG TOMOGRAPHIC IMAGING
Radiologists|USG TWINS DOPPLER OBSTETRIC
Radiologists|USG TWINS LEVEL I
Radiologists|USG TWINS LEVEL II
Radiologists|USG TWINS OBSTETRIC
Radiologists|USG TWINS TVS OBSTETRIC
Radiologists|USG TWINS UPPER ABDOMEN
Radiologists|USG TWINS WHOLE ABDOMEN
Radiologists|Fetal Echocardiography
Radiologists|2D Echocardiography
Radiologists|Stress Echocardiography
Radiologists|Treadmill test (TMT) / Cardiac stress test
Radiologists|Pulmonary function test Single (PFT)
Radiologists|Pulmonary function test double (PFT)
Radiologists|Holter test
Radiologists|CT SCAN HEAD
Radiologists|CT SCAN NECK
Radiologists|CT SCAN CHEST
Radiologists|HRCT CHEST (high-resolution computerized tomography)
Radiologists|HRCT TEMPORAL BONE (high-resolution computerized tomography)
Radiologists|CT UPPER ABDOMEN
Radiologists|CT LOWER ABDOMEN
Radiologists|CT ABDOMEN
Radiologists|CT EXTRIMITIES WITH 3D
Radiologists|CT JOINTS WITH 3D
Radiologists|CT Para Nasal Sinuses
Radiologists|CT Para Nasal Sinuses  SINGLE
Radiologists|Whole Body PET CT Scan
Radiologists|Prostate Specific Membrane Antigen (PSMA) Prostate PET CT Scan
Radiologists|DOTA PET CT Scan
Radiologists|Cardiac PET CT Scan
Radiologists|F-DOPA PET CT Scan
Neurosurgeon|Neurosurgeon Consultation
Neurosurgeon|Suboccipital surgery for acoustic neuroma
Neurosurgeon|Surgical Clipping
Neurosurgeon|Endovascular coiling
Neurosurgeon|Arteriovenous malformation surgery
Neurosurgeon|Auditory brainstem implant
Neurosurgeon|Gamma Knife radiosurgery
Neurosurgeon|External Beam Radiation
Neurosurgeon|Chemotherapy
Neurosurgeon|Brain tumor Surgery
Neurosurgeon|Carotid angioplast and stenting
Neurosurgeon|Carotid endarterectomy
Neurosurgeon|Chiari decompression surgery
Neurosurgeon|Diaphragm pacing for spinal cord injury
Neurosurgeon|Epilepsy surgery
Neurosurgeon|Resective surgery
Neurosurgeon|Laser interstitial thermal therapy (LITT)
Neurosurgeon|Deep brain Stimulation
Neurosurgeon|Corpus callosotomy
Neurosurgeon|Hemispherectomy
Neurosurgeon|Functional hemispherectomy
Neurosurgeon|Functional electrical stimulation for spinal cord injury
Neurosurgeon|Surgery for Hemifacial Spasm
Neurosurgeon|Endoscopic thoracic sympathectomy (ETS)
Neurosurgeon|Minimally invasive endovascular treatment
Neurosurgeon|Stereotactic radiosurgery (SRS)
Neurosurgeon|Encephaloduroarteriosynangiosis
Neurosurgeon|Encephalomyosynangiosis (EMS)
Neurosurgeon|Multiple burr holes procedure
Neurosurgeon|STA-MCA procedure
Pulmonologist|Argon plasma coagulation
Pulmonologist|Balloon dilation
Pulmonologist|Bronchoalveolar lavage
Pulmonologist|Electromagnetic navigational bronchoscopy
Pulmonologist|Endobronchial cryotherapy and biopsy
Pulmonologist|Endobronchial laser treatment
Pulmonologist|Endobronchial ultrasound biopsy
Pulmonologist|Placement of stents in the airways
Pulmonologist|Pleuroscopy
Pulmonologist|Radial Endobronchial ultrasound biopsy
Pulmonologist|Rigid bronchoscopy
Pulmonologist|Thoracentesis
Pulmonologist|Transbronchial cryobiopsy
Pulmonologist|Bronchoscopy
